workload_multiplier,architecture,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,replication_saturation_rate,mean_calls_delayed_beyond_horizon
2,refined,anonymizer,2,327.73333333333335,0.00593970264120005,0.006597019005647002,0.03707658431397956,78.21578748553293,0.0,0.0,0.0
2,refined,audit,3,10215.466666666667,0.004115707365746837,0.005237269331825627,2.6679978397653046,13668.276979818984,0.0,0.0,0.0
2,refined,compliance,2,10183.566666666668,0.005555545775225813,0.005632907176338232,197.0860865803742,12668.584749279717,0.0,0.0,1.5
2,refined,connector,3,5636.633333333333,0.004268872122275042,0.004357025888742628,1.6963440088123094,5759.977752804389,0.0,0.0,0.0
2,refined,fhir,3,14439.733333333334,0.007984610190707746,0.008149381247735878,144.68003450098362,16046.97318133651,0.0,0.0,1.5
2,refined,orchestrator,3,4657.4,0.005646588248183922,0.005754243780656005,0.0,0.0,0.0,0.0,0.0
2,refined,policy,3,11137.333333333334,0.028681759433920217,0.029270830618358726,0.216319711912855,94.13402341942856,0.0,0.0,0.0
2,refined,queue,5,4657.433333333333,0.00677392460604945,0.00690404478040577,0.0,0.0,0.0,0.0,0.0
2,refined,session,3,2853.6666666666665,0.010087790858124517,0.010459155324751258,0.00040989619733397884,19.276313819204915,0.0,0.0,0.0
2,refined,status,2,7732.133333333333,0.07842283936640725,0.08009478833567689,395.2630604655762,16594.60468040487,0.0,0.0,1.8333333333333333
2,refined,trust,2,723.0,0.38286155079877116,0.4026640908273955,412.115384685074,13303.606903389436,0.0,0.0,0.23333333333333334
2,refined,verifier,3,11309.9,0.030851408199005934,0.03150485419201519,0.029666169736330263,44.14760888357705,0.0,0.0,0.0
5,baseline,anonymizer,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,baseline,audit,2,1226.1333333333334,0.02005686426406266,0.04596615149963224,108825.74546327833,3298246.911185203,0.0,1.0,79.56666666666666
5,baseline,compliance,1,573.7666666666667,0.0006266155903498096,0.0006777476976031088,2003.4808897194077,82229.78025277462,0.0,1.0,0.3333333333333333
5,baseline,connector,1,11196.366666666667,0.0015153549445274734,0.0016199866811882656,1629992.8022189431,3299995.5408107555,0.0,1.0,11066.1
5,baseline,fhir,2,1587.9,0.0013180802444283308,0.001436322052345178,4174.664641946242,160039.26489036484,0.0,1.0,1.4
5,baseline,orchestrator,1,11554.6,0.0420039437762574,0.0427724208513954,0.2926881003886982,31.064773062553286,0.0,1.0,0.0
5,baseline,policy,2,633.6333333333333,0.0005766398198797975,0.0006017188272540587,0.0,0.0,0.0,1.0,0.0
5,baseline,queue,2,11554.666666666666,0.042017402284745105,0.04282026874105182,0.027244767139490166,29.222324388683774,0.0,1.0,0.0
5,baseline,session,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,baseline,status,1,251.5,0.005323954919204835,0.006035039407947841,0.0,0.0,0.0,1.0,0.0
5,baseline,trust,1,1407.0,0.9957409843691589,0.9965224830428715,604886.6104091932,3299863.0118623287,1.0,1.0,501.06666666666666
5,baseline,verifier,2,15071.7,0.0063743022901265435,0.0067309862967414435,1552225.027912941,3299976.43035233,0.0,1.0,14206.133333333333
5,capacity_matched,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,capacity_matched,audit,3,2216.4333333333334,0.022166897603029583,0.0407489594799379,60911.68457507316,3295159.735799783,0.0,0.0,79.46666666666667
5,capacity_matched,compliance,2,1067.1333333333334,0.0005821245529502438,0.0006223777443391,1807.3674150598179,52181.522370983825,0.0,0.0,0.3
5,capacity_matched,connector,3,11313.133333333333,0.0009465798268075788,0.0010085584294126713,1611644.317002611,3294937.8426828873,0.0,0.0,10971.833333333334
5,capacity_matched,fhir,3,2961.766666666667,0.0016385281932620986,0.0017489962551449577,8857.081732617256,143490.84788160463,0.0,0.0,6.633333333333334
5,capacity_matched,orchestrator,3,11554.6,0.014001314592085803,0.0142574736171318,3.327883230250888e-05,3.2670707450961345,0.0,0.0,0.0
5,capacity_matched,policy,3,1179.5,0.0007145586089014929,0.0007660547254742925,0.0,0.0,0.0,0.0,0.0
5,capacity_matched,queue,5,11554.666666666666,0.01680696091389804,0.017128107496420727,0.0,0.0,0.0,0.0,0.0
5,capacity_matched,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,capacity_matched,status,2,466.06666666666666,0.004940676193188318,0.005533531032218876,0.0,0.0,0.0,0.0,0.0
5,capacity_matched,trust,2,2200.4666666666667,0.9328062255828574,0.9472567075894839,386359.05791582516,3292702.613753246,0.0,0.0,498.3
5,capacity_matched,verifier,3,15826.333333333334,0.00791835792800662,0.008113732380502702,1476774.2387249842,3295070.0796302618,0.0,0.0,14083.033333333333
5,refined,anonymizer,2,773.6666666666666,0.0140519541583544,0.01592038886227183,0.1775016992623879,98.07780411779277,0.0,0.0,0.0
5,refined,audit,3,24371.9,0.009666076600601571,0.011615582956935329,319.48110740623946,352182.67123030726,0.0,0.0,3.6666666666666665
5,refined,compliance,2,24293.5,0.013249904771944666,0.013993710473908282,588.9295966867902,17796.95971598312,0.0,0.0,3.533333333333333
5,refined,connector,3,14046.466666666667,0.010191133550950793,0.010722290833860226,70169.77748114933,349272.7044889771,0.0,0.0,621.2
5,refined,fhir,3,34414.7,0.01900480643838824,0.02002953763810923,8580.734312584369,137244.5208307654,0.0,0.0,92.76666666666667
5,refined,orchestrator,3,11554.666666666666,0.01400180702246793,0.014242336008580775,1.9718082339533507e-05,3.278457788610467,0.0,0.0,0.0
5,refined,policy,3,26717.1,0.0688044930137494,0.0727836270623405,0.8709094308000952,100.55787953979234,0.0,0.0,0.0
5,refined,queue,5,11554.666666666666,0.016808966021182422,0.017158653099619853,0.0,0.0,0.0,0.0,0.0
5,refined,session,3,6830.5,0.024134928408474608,0.025817250374384152,0.0012354216144744427,22.998131482381723,0.0,0.0,0.0
5,refined,status,2,19009.133333333335,0.1879500262626075,0.19870363497927704,57124.1091662076,357962.5549195957,0.0,0.0,579.9666666666667
5,refined,trust,2,1824.8,0.9327060045936926,0.94222939682071,78418.25011947601,358537.9165352752,0.0,0.0,78.06666666666666
5,refined,verifier,3,28412.333333333332,0.07748747793748828,0.07834506793929222,0.17118393612156613,81.75816249286072,0.0,0.0,0.0
