architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
capacity_matched,high_volume_ingestion,orchestrator,3,1964.9666666666667,0.002379180333745101,0.0024778006862067746,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,queue,5,1964.9666666666667,0.0028587445037949436,0.002972317729778834,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,high_volume_ingestion,trust,2,574.1333333333333,0.30434454892642476,0.32144630921355155,214.53883871157961,7617.470573600258,0.0,0.0
capacity_matched,high_volume_ingestion,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,audit,3,280.76666666666665,4.029272597865553e-05,4.849814561724644e-05,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,compliance,2,139.83333333333334,7.626450153985145e-05,9.342393048973808e-05,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,connector,3,289.3,0.0002188702595835685,0.00024416487943099266,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,fhir,3,561.5333333333333,0.0003106836883649601,0.0003486906332826054,1.0662856251002217,3411.8773721052094,0.0,0.0
capacity_matched,lab_ingestion_recovery,orchestrator,3,325.8333333333333,0.00039585547819819276,0.00044431553637632923,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,policy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,queue,5,325.8333333333333,0.00047518628555571633,0.0005299594989518358,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,lab_ingestion_recovery,trust,2,97.5,0.051790093579590454,0.0639344424560805,9.23308364933405,4153.539383851353,0.0,0.0
capacity_matched,lab_ingestion_recovery,verifier,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,audit,3,176.1,2.5347245985890192e-05,3.1446289544437787e-05,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,compliance,2,88.36666666666666,4.83884233657062e-05,6.4046846403981e-05,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,policy,3,176.1,0.00010684622446053509,0.00012442352593581925,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,multi_device_access,trust,2,562.8666666666667,0.29753632227849747,0.3427810846263845,405.4779951654354,7961.6756709842775,0.0,0.06666666666666667
capacity_matched,multi_device_access,verifier,3,1125.7666666666667,0.0030752658732847216,0.0035369200792416565,202.42443307719998,30721.216749903306,0.0,0.03333333333333333
capacity_matched,research_donation,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
